,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
38,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,36.95,2608577057,39,,372752577,37.5,34.64,2.31,6.66819,171978650.0,7.05815,70530000.0,100000000.0,,198.38,-81.37634,2018-01-15T00:00:00.000Z,0.078349,47055.28265,2016-10-21T00:00:00.000Z,"{'times': 1025.5195879322134, 'currency': 'usd', 'percentage': 102551.95879322133}",2021-07-03T21:39:52.308Z,67
39,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,44.55,2605540051,40,,12565785,44.88,42.2,2.36,5.58845,159258047.0,6.51021,58516073.4447837,58516073.4447837,,87.15,-48.85185,2021-05-12T14:49:23.076Z,1.89,2263.02689,2020-03-13T02:22:33.711Z,,2021-07-03T21:38:12.863Z,19
40,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.02,2542966348,41,,11678742,1.06,0.968487,0.04863437,4.98809,130280144.0,5.3998,2482436200.6,,,4.34,-76.45645,2021-03-30T03:44:28.828Z,0.06044,1590.17388,2020-04-29T08:19:34.574Z,,2021-07-03T21:39:19.121Z,53
41,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02153216,2520945030,42,,2043888,0.02194856,0.02144964,-1.4343296e-05,-0.06657,30834582.0,1.23828,116959101600.31,116959374879.266,,0.03159087,-31.83704,2020-10-12T21:29:00.007Z,0.00728854,195.43996,2020-03-18T04:29:40.819Z,,2021-07-03T21:38:15.762Z,17
42,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,3.01,2516975787,43,,60168633,3.02,2.88,0.060491,2.0536,68744592.0,2.80793,836883977.095372,,,8.27,-63.68928,2021-05-07T02:09:26.683Z,0.350476,756.41713,2018-12-07T00:00:00.000Z,"{'times': 5.395943146436104, 'currency': 'usd', 'percentage': 539.5943146436105}",2021-07-03T21:39:57.818Z,106
43,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,5.92,2475275513,44,,57245238,5.98,5.63,0.288923,5.135,126016411.0,5.36409,418370478.730648,995869739.81579,,22.36,-73.57908,2021-03-21T11:59:15.174Z,0.121798,4749.77153,2020-03-18T17:03:01.083Z,,2021-07-03T21:39:36.109Z,58
44,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,28.15,2444871099,45,9509245993.0,35240638,28.28,26.86,1.15,4.25726,107344092.0,4.59221,86823042.83135124,337695378.898579,337695378.898579,63.12,-55.45294,2021-05-12T03:59:29.290Z,1.15,2345.54445,2019-09-06T00:00:00.000Z,,2021-07-03T21:40:00.658Z,41
45,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2668.04,2405487827,46,2683761071.0,86489681,2679.98,2526.45,141.59,5.60442,134601178.0,5.92725,901310.9472893132,991339.552272522,1005577.0,6292.31,-57.76917,2021-05-03T21:54:29.333Z,168.36,1478.36485,2020-03-16T20:52:36.527Z,,2021-07-03T21:39:59.952Z,64
46,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.833116,2314524344,47,,28207225,0.841725,0.797969,0.02045854,2.51749,58980254.0,2.6149,2779530283.277761,2779530283.0,,5.25,-84.11163,2017-12-19T00:00:00.000Z,0.081637,921.52395,2020-03-13T02:22:41.168Z,"{'times': 16.83850740515315, 'currency': 'btc', 'percentage': 1683.850740515315}",2021-07-03T21:39:46.429Z,63
47,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.36,2247647069,48,,480583,2.43,2.33,0.02099449,0.89745,21744933.0,0.9769,950136252.9,985239504.0,,3.95,-39.99464,2021-05-14T13:54:31.192Z,0.799859,195.96306,2019-12-24T15:14:35.376Z,,2021-07-03T21:39:42.085Z,55
48,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.381243,2020533684,49,,40205623,0.387443,0.357166,0.01344296,3.65497,70177009.0,3.59816,5301219200.0,5301200000.0,,0.68159,-43.6397,2021-06-09T06:50:55.818Z,0.00090804,42205.02599,2020-03-13T02:30:37.972Z,,2021-07-03T21:38:26.523Z,86
49,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,376.18,2017336158,50,3761893238.0,253873932,385.44,351.83,24.35,6.92094,134607832.0,7.14962,5362555.581747919,10000000.0,10000000.0,910.54,-58.84192,2021-05-12T02:29:08.794Z,61.32,511.13845,2020-06-18T12:54:32.788Z,,2021-07-03T21:39:44.612Z,23
50,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,11.53,1989403274,51,8307537468.0,38581365,11.66,10.91,0.616881,5.65491,111035410.0,5.91127,172418164.000451,377752194.4695483,720000000.0,59.4,-80.58563,2021-02-10T22:23:34.616Z,2.8,311.72962,2020-12-31T13:15:21.540Z,,2021-07-03T21:39:37.226Z,6
51,the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.680431,1973450643,52,6809925506.0,217025794,0.684436,0.574699,0.105732,18.39772,306070470.0,18.35637,2897903422.0,10000000000.0,10000000000.0,2.84,-75.9625,2021-02-12T07:28:45.775Z,0.103254,561.49952,2020-12-17T21:28:41.332Z,,2021-07-03T21:40:01.811Z,43
52,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,1933426258,53,,28500815,1.01,0.997844,-0.002689820934,-0.26723,-2727509.5787746906,-0.14087,1925497707.58052,1925502678.03214,,1.09,-8.21836,2021-01-11T22:30:57.984Z,0.857992,16.80413,2021-05-19T13:14:26.898Z,,2021-07-03T21:37:03.792Z,95
53,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,145.47,1901999778,54,,66247710,145.96,137.52,7.95,5.77798,110939602.0,6.19407,13083175.6950596,21000000.0,,247.35,-41.21404,2021-04-17T00:41:14.790Z,0.43154,33595.08947,2016-12-26T00:00:00.000Z,,2021-07-03T21:38:58.077Z,29
54,safemoon,safemoon,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,3.21e-06,1867424611,55,,13696915,3.35e-06,3.17e-06,-2.4108e-08,-0.74538,-2768113.35972929,-0.14801,580585542335317.0,1000000000000000.0,,1.094e-05,-70.84123,2021-05-11T20:32:53.513Z,4.436e-08,7093.44658,2021-03-14T19:51:56.741Z,,2021-07-03T21:39:52.453Z,77
55,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,207.5,1863092015,56,2074690053.0,134328614,212.32,199.36,8.13,4.07858,81603151.0,4.58062,8980098.074112339,10000000.0,10000000.0,621.71,-66.77159,2021-05-18T05:04:41.858Z,0.876572,23467.10565,2020-01-14T19:20:20.768Z,,2021-07-03T21:40:02.871Z,54
56,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00271896,1792293967,57,,164866581,0.0027235,0.00262937,8.147e-05,3.08875,54941175.0,3.16235,659071882049.0,990000000000.0,,0.01356626,-79.97537,2021-04-05T04:09:06.433Z,0.00013814,1866.51007,2020-03-13T02:22:57.629Z,"{'times': 21.658008795658034, 'currency': 'usd', 'percentage': 2165.8008795658034}",2021-07-03T21:39:33.780Z,14
57,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,10.48,1788606266,58,5238893201.0,511914952,10.67,10.27,0.199262,1.93734,39040700.0,2.23145,170704593.25441208,500000000.0,500000000.0,39.66,-73.62206,2021-05-12T14:42:21.586Z,0.90862,1051.38295,2019-01-30T00:00:00.000Z,"{'times': 9.590509034455778, 'currency': 'usd', 'percentage': 959.0509034455778}",2021-07-03T21:39:48.496Z,49
58,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.195226,1746928929,59,,45177210,0.196975,0.189813,-0.000876366438,-0.44689,4943172.0,0.28377,8950270381.0,50000000000.0,,0.448365,-56.64712,2021-03-15T01:53:34.974Z,0.00986111,1871.16948,2020-01-02T17:30:24.852Z,,2021-07-03T21:39:53.368Z,45
59,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,6.16,1676913291,60,3085679326.0,64343711,6.25,5.64,0.477025,8.38839,136468583.0,8.85904,271725139.53627056,500000000.0,500000000.0,20.87,-70.48653,2021-05-19T00:30:09.436Z,0.00851264,72248.24288,2019-09-28T00:00:00.000Z,"{'times': 161.20400165747623, 'currency': 'usd', 'percentage': 16120.400165747624}",2021-07-03T21:36:54.001Z,76
60,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180,93.2,1663695034,61,,58041075,92.53,80.32,12.3,15.21066,214145578.0,14.77325,17980939.0,20397843.0,,243.92,-62.39291,2021-04-12T02:24:35.343Z,6.51,1309.81568,2020-10-07T01:44:53.554Z,,2021-07-03T21:39:51.032Z,34
61,waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,16.36,1634913301,62,,85812713,16.47,15.84,0.484152,3.05022,53390438.0,3.37589,100000000.0,100000000.0,,43.01,-62.00907,2021-05-04T06:49:41.528Z,0.130878,12385.93895,2016-08-02T00:00:00.000Z,"{'times': 86.0044866133567, 'currency': 'usd', 'percentage': 8600.44866133567}",2021-07-03T21:39:51.183Z,98
62,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,1.0,1520259422,63,,54566433,1.01,0.998416,-0.003076385913,-0.30599,2889507.0,0.19043,1516292572.46,1516292572.46,,1.62,-38.08211,2018-08-26T20:41:09.375Z,0.88355,13.42302,2020-03-12T10:47:51.380Z,,2021-07-03T21:39:25.543Z,91
63,sushi,sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,7.65,1457814694,64,1913496301.0,117637346,7.71,7.25,0.389026,5.35501,76986060.0,5.57535,190464791.16445264,226653947.797091,250000000.0,23.38,-67.2241,2021-03-13T23:44:36.774Z,0.475381,1511.72614,2020-11-04T14:53:53.560Z,,2021-07-03T21:39:49.092Z,84
64,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,139.54,1424797886,65,,646420283,140.29,132.9,6.15,4.61126,63952300.0,4.69945,10214180.4664808,18920000.0,,1493.59,-90.67051,2017-12-20T00:00:00.000Z,0.213899,65044.95568,2014-02-14T00:00:00.000Z,,2021-07-03T21:39:49.683Z,28
65,telcoin,tel,Telcoin,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203,0.02449223,1392643771,66,,16664205,0.02508038,0.02348009,0.00101213,4.3106,63222555.0,4.75565,56969406904.06,100000000000.0,,0.064483,-61.86093,2021-05-11T00:32:24.043Z,6.474e-05,37889.70462,2020-03-13T02:24:47.992Z,"{'times': 23.49222781667296, 'currency': 'usd', 'percentage': 2349.222781667296}",2021-07-03T21:39:55.698Z,85
66,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,34823.0,1389654722,67,1389654722.0,306375,34876.0,33248.0,1575.23,4.73787,62861783.0,4.73787,39906.36705999,39906.36705999,39906.36705999,69325.0,-49.83081,2021-05-10T02:33:06.038Z,11209.02,210.28422,2020-10-12T03:56:16.768Z,,2021-07-03T21:26:33.537Z,46
67,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,118.43,1333578989,68,2486121917.0,627390336,119.21,113.39,3.46,3.00639,39516817.0,3.0537,11264595.9050536,21000000.0,21000000.0,3191.93,-96.29272,2016-10-29T00:00:00.000Z,19.75,499.04785,2020-03-13T02:20:55.002Z,,2021-07-03T21:39:57.826Z,109
68,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157,0.108974,1333197718,69,,25090545,0.123481,0.098651,0.00537033,5.18353,57971616.0,4.54599,12238141964.0,37599520715.0,,0.144432,-25.57334,2021-04-15T14:54:04.324Z,0.00039532,27092.23381,2019-07-22T00:00:00.000Z,"{'times': 5.509548618832883, 'currency': 'eth', 'percentage': 550.9548618832883}",2021-07-03T21:39:38.795Z,100
69,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,2222.96,1304033233,70,1304033233.0,669517,2239.63,2106.47,116.49,5.52997,74442626.0,6.05426,586619.877043739,586619.877043739,586619.877043739,4309.29,-48.41845,2021-05-12T09:57:17.253Z,482.9,360.30582,2020-12-22T04:08:21.854Z,,2021-07-03T21:35:14.345Z,82
70,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.24271,1297277749,71,2157787877.0,98916073,0.243666,0.235789,0.00526906,2.21911,31622489.0,2.49851,5344064580.0,8888888888.0,8888888888.0,0.878633,-72.44701,2021-03-13T08:04:21.200Z,0.00410887,5791.87391,2019-09-28T00:00:00.000Z,"{'times': 10.032268617863323, 'currency': 'usd', 'percentage': 1003.2268617863323}",2021-07-03T21:39:42.171Z,20
71,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.135894,1222508446,72,,68788203,0.137264,0.129464,0.00578329,4.44489,60620756.0,5.21744,8999999999.0,8999999999.0,,1.87,-92.74675,2018-01-07T00:00:00.000Z,8.482e-05,159691.35558,2015-09-05T00:00:00.000Z,,2021-07-03T21:39:56.595Z,101
72,helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,13.23,1177398686,73,2958316491.0,12571659,13.32,12.24,0.993589,8.11731,92464578.0,8.5226,88753149.9133563,223000000.0,223000000.0,22.31,-40.39252,2021-05-28T17:33:24.441Z,0.113248,11642.19652,2020-04-18T00:19:10.902Z,,2021-07-03T21:39:50.534Z,47
73,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,7.44,1175906629,74,1705180652.0,37128528,7.47,6.74,0.698095,10.3601,114256958.0,10.76221,157961181.33762667,229059300.715179,229059300.715179,28.53,-73.8303,2021-02-14T01:12:38.505Z,0.0347864,21364.74727,2019-01-06T00:00:00.000Z,"{'times': 13.87279504269394, 'currency': 'usd', 'percentage': 1387.279504269394}",2021-07-03T21:39:47.755Z,80
74,yearn-finance,yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,32970.0,1175738823,75,1209630740.0,172708261,33823.0,31688.0,1282.87,4.04849,45043583.0,3.98371,35638.67737305045,36666.0,36666.0,90787.0,-63.74229,2021-05-12T00:29:37.713Z,31.65,103919.89715,2020-07-18T12:26:27.150Z,,2021-07-03T21:39:46.079Z,108
75,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,1.18,1102604869,76,1180100763.0,68900788,1.18,1.09,0.085457,7.82128,85243575.0,8.37889,934331121.3990188,1000000000.0,1000000000.0,3.94,-70.08655,2021-04-09T12:29:27.777Z,0.01865964,6220.7291,2017-11-12T00:00:00.000Z,,2021-07-03T21:39:50.839Z,35
76,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.00615396,1094234651,77,,58000029,0.0062049,0.00590774,0.00024371,4.12356,43741887.0,4.16394,177619433541.141,177619433541.141,,0.03126682,-80.34783,2021-04-05T16:04:52.608Z,0.0002202,2690.48203,2020-03-13T02:23:01.612Z,"{'times': 11.191429369107121, 'currency': 'eth', 'percentage': 1119.1429369107123}",2021-07-03T21:38:50.222Z,48
77,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,80.27,1032044167,78,1171349722.0,19614787,86.35,71.93,8.34,11.59796,106044086.0,11.45184,12874667.469289193,14612493.0,14612493.0,98.55,-18.59137,2021-06-25T15:54:41.569Z,0.215773,37081.36396,2018-08-23T00:00:00.000Z,"{'times': 14.504862218576116, 'currency': 'eth', 'percentage': 1450.4862218576118}",2021-07-03T21:39:23.463Z,74
78,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.082679,1008500533,79,,61038426,0.083,0.079438,0.00263394,3.29055,33060677.0,3.38931,12197878810.0438,21000000000.0,,0.255376,-67.6893,2021-05-06T17:33:45.940Z,0.00239616,3343.58194,2020-03-13T02:22:55.161Z,"{'times': 3.3849017382262927, 'currency': 'eth', 'percentage': 338.4901738226293}",2021-07-03T21:39:55.346Z,111
79,near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,2.27,936669879,80,2274878282.0,45342348,2.29,2.1,0.176353,8.41061,80561294.0,9.41017,411745053.321164,1000000000.0,1000000000.0,7.56,-69.91407,2021-03-13T17:49:31.011Z,0.526762,331.64831,2020-11-04T16:09:15.137Z,,2021-07-03T21:39:41.286Z,66
80,paxos-standard,pax,Paxos Standard,https://assets.coingecko.com/coins/images/6013/large/paxos_standard.png?1548386291,1.0,889384731,81,,54316565,1.01,0.998801,-0.000848215372,-0.0844,65324917.0,7.92721,885576545.22,885576545.22,,1.13,-11.15962,2018-10-15T07:09:12.459Z,0.863529,16.01586,2021-05-19T13:14:42.046Z,"{'times': 0.004191693785277, 'currency': 'usd', 'percentage': 0.4191693785277}",2021-07-03T21:39:32.336Z,73
81,basic-attention-token,bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,0.591458,886029348,82,887032641.0,69101935,0.597312,0.569182,0.01733966,3.02023,27341441.0,3.1841,1498303398.9673505,1500000000.0,1500000000.0,1.63,-63.78787,2021-04-09T19:03:22.356Z,0.072394,716.02574,2017-07-16T00:00:00.000Z,"{'times': 0.7003932586656576, 'currency': 'eth', 'percentage': 70.03932586656576}",2021-07-03T21:39:54.660Z,7
82,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,0.839706,875875763,83,,20327806,0.848202,0.780712,0.02026236,2.4727,36912036.0,4.39972,1052561461.68777,1818000000.0,,2.92,-71.54637,2021-04-05T13:34:27.931Z,0.04559639,1721.4263,2020-03-13T02:29:26.415Z,"{'times': 5.997548737880394, 'currency': 'usd', 'percentage': 599.7548737880394}",2021-07-03T21:38:26.616Z,83
83,mdex,mdx,Mdex,https://assets.coingecko.com/coins/images/13775/large/mdex.png?1611739676,1.68,869237014,84,,62985668,1.71,1.63,0.04996793,3.05857,28649132.0,3.40823,516283011.74465,452988758.45796,,10.11,-83.38747,2021-02-22T07:08:38.957Z,1.44,16.821,2021-06-22T14:11:14.744Z,,2021-07-03T21:39:56.857Z,62
84,bitcoin-gold,btg,Bitcoin Gold,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978,48.97,857238965,85,,30955982,49.88,45.58,2.66,5.73694,31133294.0,3.76868,17513924.0,21000000.0,,456.25,-89.27133,2017-12-20T00:00:00.000Z,4.25,1050.54038,2020-03-13T02:22:52.902Z,,2021-07-03T21:39:45.821Z,13
85,nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,1.52,849547415,86,1517048929.0,5076162,1.55,1.46,0.054239,3.70955,31084622.0,3.79793,560000010.0064,1000000000.0,1000000000.0,4.07,-62.59156,2021-05-12T14:37:47.535Z,0.04515276,3270.25775,2018-09-13T00:00:00.000Z,"{'times': 14.16385800924386, 'currency': 'usd', 'percentage': 1416.385800924386}",2021-07-03T21:39:05.623Z,68
86,liquity-usd,lusd,Liquity USD,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327,1.01,760384191,87,,6765345,1.03,1.01,-0.010846248461,-1.0591,1326368.0,0.17474,750435553.284736,750435553.284736,,1.16,-12.59381,2021-04-05T14:47:52.665Z,0.925652,9.37675,2021-05-21T14:38:31.217Z,,2021-07-03T21:35:17.803Z,59
